id1,id2,weight
A155,Chapter I,1
A155,ICD10,1
A155,Block A15-A19,1
A156,A15,1
A156,Chapter I,1
A156,ICD10,1
A156,Block A15-A19,1
A157,A15,1
A157,Chapter I,1
A157,ICD10,1
A157,Block A15-A19,1
A158,A15,1
A158,Chapter I,1
A158,ICD10,1
A158,Block A15-A19,1
A159,A15,1
A159,Chapter I,1
A159,ICD10,1
A159,Block A15-A19,1
A160,Chapter I,1
A160,ICD10,1
A160,A16,1
A160,Block A15-A19,1
A16,Chapter I,1
A16,ICD10,1
A16,Block A15-A19,1
A161,Chapter I,1
A161,ICD10,1
A161,A16,1
A161,Block A15-A19,1
A162,Chapter I,1
A162,ICD10,1
A162,A16,1
A162,Block A15-A19,1
A163,Chapter I,1
A163,ICD10,1
A163,A16,1
A163,Block A15-A19,1
A164,Chapter I,1
A164,ICD10,1
A164,A16,1
A164,Block A15-A19,1
A165,Chapter I,1
A165,ICD10,1
A165,A16,1
A165,Block A15-A19,1
A167,Chapter I,1
A167,ICD10,1
A167,A16,1
A167,Block A15-A19,1
A168,Chapter I,1
A168,ICD10,1
A168,A16,1
A168,Block A15-A19,1
A169,Chapter I,1
A169,ICD10,1
A169,A16,1
A169,Block A15-A19,1
A170,Chapter I,1
A170,Block A15-A19,1
A170,ICD10,1
A170,A17,1
A17,Chapter I,1
A17,ICD10,1
A17,Block A15-A19,1
A171,Chapter I,1
A171,Block A15-A19,1
A171,ICD10,1
A171,A17,1
A178,Chapter I,1
A178,Block A15-A19,1
A178,ICD10,1
A178,A17,1
A179,Chapter I,1
A179,Block A15-A19,1
A179,ICD10,1
A179,A17,1
A180,Chapter I,1
A180,ICD10,1
A180,A18,1
A180,Block A15-A19,1
A18,Chapter I,1
A18,ICD10,1
A18,Block A15-A19,1
A181,Chapter I,1
A181,ICD10,1
A181,A18,1
A181,Block A15-A19,1
A182,Chapter I,1
A182,ICD10,1
A182,A18,1
A182,Block A15-A19,1
A183,Chapter I,1
A183,ICD10,1
A183,A18,1
A183,Block A15-A19,1
A184,Chapter I,1
A184,ICD10,1
A184,A18,1
A184,Block A15-A19,1
A185,Chapter I,1
A185,ICD10,1
A185,A18,1
A185,Block A15-A19,1
A186,Chapter I,1
A186,ICD10,1
A186,A18,1
A186,Block A15-A19,1
A187,Chapter I,1
A187,ICD10,1
A187,A18,1
A187,Block A15-A19,1
A188,Chapter I,1
A188,ICD10,1
A188,A18,1
A188,Block A15-A19,1
A190,Chapter I,1
A190,A19,1
A190,ICD10,1
A190,Block A15-A19,1
A19,Chapter I,1
A19,ICD10,1
A19,Block A15-A19,1
A191,Chapter I,1
A191,A19,1
A191,ICD10,1
A191,Block A15-A19,1
A192,Chapter I,1
A192,A19,1
A192,ICD10,1
A192,Block A15-A19,1
A198,Chapter I,1
A198,A19,1
A198,ICD10,1
A198,Block A15-A19,1
A199,Chapter I,1
A199,A19,1
A199,ICD10,1
A199,Block A15-A19,1
A200,Chapter I,1
A200,A20,1
A200,Block A20-A28,1
A200,ICD10,1
A20,Chapter I,1
A20,Block A20-A28,1
A20,ICD10,1
Block A20-A28,Chapter I,1
Block A20-A28,ICD10,1
A201,Chapter I,1
A201,A20,1
A201,Block A20-A28,1
A201,ICD10,1
A202,Chapter I,1
A202,A20,1
A202,Block A20-A28,1
A202,ICD10,1
A203,Chapter I,1
A203,A20,1
A203,Block A20-A28,1
A203,ICD10,1
A207,Chapter I,1
A207,A20,1
A207,Block A20-A28,1
A207,ICD10,1
A208,Chapter I,1
A208,A20,1
A208,Block A20-A28,1
A208,ICD10,1
A209,Chapter I,1
A209,A20,1
A209,Block A20-A28,1
A209,ICD10,1
A210,Chapter I,1
A210,ICD10,1
A210,A21,1
A210,Block A20-A28,1
A21,Chapter I,1
A21,Block A20-A28,1
A21,ICD10,1
A211,Chapter I,1
A211,ICD10,1
A211,A21,1
A211,Block A20-A28,1
A212,Chapter I,1
A212,ICD10,1
A212,A21,1
A212,Block A20-A28,1
A213,Chapter I,1
A213,ICD10,1
A213,A21,1
A213,Block A20-A28,1
A217,Chapter I,1
A217,ICD10,1
A217,A21,1
A217,Block A20-A28,1
A218,Chapter I,1
A218,ICD10,1
A218,A21,1
A218,Block A20-A28,1
A219,Chapter I,1
A219,ICD10,1
A219,A21,1
A219,Block A20-A28,1
A220,Chapter I,1
A220,ICD10,1
A220,Block A20-A28,1
A220,A22,1
A22,Chapter I,1
A22,Block A20-A28,1
A22,ICD10,1
A221,Chapter I,1
A221,ICD10,1
A221,Block A20-A28,1
A221,A22,1
A222,Chapter I,1
A222,ICD10,1
A222,Block A20-A28,1
A222,A22,1
A227,Chapter I,1
A227,ICD10,1
A227,Block A20-A28,1
A227,A22,1
A228,Chapter I,1
A228,ICD10,1
A228,Block A20-A28,1
A228,A22,1
A229,Chapter I,1
A229,ICD10,1
A229,Block A20-A28,1
A229,A22,1
